Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Mohamed Salah,Chelsea,Midfielder,3,2,0,50,0,1,78,11,33,0,0,0,0,15,2,13,Mohamed Salah
Lukas Podolski,Internazionale,Forward,2,47,0,0,0,4,85,14,57,2,0,0,0,11.825,47,-35.175,Lukas Podolski
Scott Sinclair,Manchester City,Midfielder,2,1,0,0,0,0,100,9,0,0,0,0,0,9,1,8,Scott Sinclair
Álvaro Medrán,Real Madrid,Midfielder,2,3,0,100,0,0,91,13,25,0,0,0,0,9,3,6,Álvaro Medrán
Eljero Elia,Southampton,Midfielder,1,7,0,0,0,0,58,13,67,1,0,0,0,8,7,1,Eljero Elia
Jake Hesketh,Southampton,Midfielder,2,13,0,50,0,0,89,12,17,0,0,1,0,8,13,-5,Jake Hesketh
Jesse Lingard,Manchester United,Midfielder,1,2,0,0,0,0,69,13,50,1,0,0,0,7,2,5,Jesse Lingard
Lewis Baker,Sheffield Wednesday,Midfielder,1,1,0,0,0,0,75,12,0,1,0,0,0,6,1,5,Lewis Baker
Anderson,Manchester United,Midfielder,1,9,0,0,0,1,88,20,40,0,0,0,0,6,9,-3,Anderson
Dominic Gape,Southampton,Midfielder,1,5,0,0,0,0,100,24,50,0,0,0,0,5,5,0,Dominic Gape
Jesé,Real Madrid,Forward,1,3,0,0,0,1,67,13,22,0,0,0,0,4.5075,3,1.5075,Jesé
Lloyd Isgrove,Southampton,Midfielder,1,1,0,0,0,0,86,25,25,0,0,0,0,4,1,3,Lloyd Isgrove
Chuba Akpom,Arsenal,Forward,1,5,0,0,0,0,50,11,0,0,0,0,0,3.125,5,-1.875,Chuba Akpom
Ainsley Maitland-Nil..,Arsenal,Midfielder,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,Ainsley Maitland-Nil..
Tom Thorpe,Manchester United,Defender,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Tom Thorpe
Nick Powell,Manchester United,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nick Powell
Andreas Pereira,Manchester United,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Andreas Pereira
Jeremie Boga,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jeremie Boga
Ruben Loftus-Cheek,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ruben Loftus-Cheek
Nathaniel Chalobah,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nathaniel Chalobah
Suso,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Suso
Jordan Rossiter,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jordan Rossiter
Seyi Ojo,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Seyi Ojo
Vassiriki Abou Diaby,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Vassiriki Abou Diaby
Serge Gnabry,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Serge Gnabry
Gedion Zelalem,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Gedion Zelalem
Alex Iwobi,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Alex Iwobi
Glen Kamara,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Glen Kamara
Cristian Ceballos,Tottenham Hotspur,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Cristian Ceballos
Harry Winks,Tottenham Hotspur,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Harry Winks
Josh Onomah,Tottenham Hotspur,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh Onomah
Sam McQueen,Southampton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sam McQueen
Bersant Celina,Manchester City,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bersant Celina
George Glendon,Manchester City,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,George Glendon
Sinan Bytyqi,SC Cambuur Leeuwarden,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sinan Bytyqi
Marcos Llorente,Real Madrid,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Marcos Llorente
Sergi Samper,Barcelona,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sergi Samper
Sebastian Lletget,West Ham United,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sebastian Lletget
Will Keane,Manchester United,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Will Keane
Dominic Solanke,Chelsea,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Dominic Solanke
Izzy Brown,Chelsea,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Izzy Brown
Yaya Sanogo,Crystal Palace,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yaya Sanogo
Jay Rodriguez,Southampton,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jay Rodriguez
Sam Gallagher,Southampton,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sam Gallagher
Ryan Seager,Southampton,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ryan Seager
Thierry Ambrose,Manchester City,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thierry Ambrose
Raúl de Tomás,Real Madrid,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Raúl de Tomás
Elliot Lee,West Ham United,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Elliot Lee
Marnick Vermijl,Manchester United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Marnick Vermijl
Saidy Janko,Manchester United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Saidy Janko
Reece James,Manchester United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Reece James
Nathan Aké,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Nathan Aké
Andreas Christensen,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Andreas Christensen
Jon Flanagan,Liverpool,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jon Flanagan
Ryan McLaughlin,Liverpool,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ryan McLaughlin
Jordan Williams,Liverpool,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jordan Williams
Semi Ajayi,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Semi Ajayi
Isaac Hayden,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Isaac Hayden
Stefan O'Connor,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Stefan O'Connor
Bongani Khumalo,Tottenham Hotspur,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bongani Khumalo
DeAndre Yedlin,Tottenham Hotspur,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DeAndre Yedlin
Benoit Assou-Ekotto,Tottenham Hotspur,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Benoit Assou-Ekotto
Dominic Ball,Tottenham Hotspur,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Dominic Ball
Jos Hooiveld,Southampton,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jos Hooiveld
Matija Nastasic,FC Schalke 04,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matija Nastasic
Angelino,Manchester City,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Angelino
Diego Llorente,Real Madrid,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Diego Llorente
Thomas Vermaelen,Barcelona,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thomas Vermaelen
Doneil Henry,West Ham United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Doneil Henry
Reece Burke,West Ham United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Reece Burke
Daniel Potts,West Ham United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Daniel Potts
Reece Oxford,West Ham United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Reece Oxford
Lewis Page,West Ham United,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Lewis Page
