Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Oscar,Chelsea,Midfielder,17,401,4,43,0,29,84,16,40,2,0,4,0,137,401,-264,Oscar
Calum Chambers,Arsenal,Defender,18,169,1,40,0,8,84,17,51,6,1,7,1,137,169,-32,Calum Chambers
Wayne Rooney,Manchester United,Forward,17,539,8,50,0,23,85,19,42,3,1,3,1,136.7625,539,-402.2375,Wayne Rooney
César Azpilicueta,Chelsea,Defender,17,315,0,100,0,9,85,18,53,6,0,0,1,136.75,315,-178.25,César Azpilicueta
Martín Demichelis,Manchester City,Defender,18,310,1,50,0,3,88,18,44,8,0,3,0,136.25,310,-173.75,Martín Demichelis
Erik Lamela,Tottenham Hotspur,Midfielder,19,209,1,55,0,30,82,14,46,2,0,3,0,136,209,-73,Erik Lamela
Danny Rose,Tottenham Hotspur,Defender,15,136,1,40,0,12,80,18,52,6,0,3,0,136,136,0,Danny Rose
James Collins,West Ham United,Defender,14,191,0,40,0,2,70,28,55,12,0,4,1,135.5,191,-55.5,James Collins
Neymar,Barcelona,Forward,15,575,12,57,0,13,76,11,56,0,0,3,0,135.025,575,-439.975,Neymar
Willian,Chelsea,Midfielder,20,269,1,48,0,20,85,18,53,1,0,2,0,135,269,-134,Willian
Pepe,Real Madrid,Defender,14,382,1,20,0,5,85,20,58,7,0,0,0,131.75,382,-250.25,Pepe
Harry Kane,Tottenham Hotspur,Forward,17,324,8,58,0,13,76,14,43,1,0,1,0,131.72,324,-192.28,Harry Kane
Pablo Zabaleta,Manchester City,Defender,15,214,1,17,0,15,86,16,51,5,0,5,1,130.25,214,-83.75,Pablo Zabaleta
James Milner,Manchester City,Midfielder,18,263,0,35,0,35,83,15,44,1,0,1,0,130,263,-133,James Milner
Victor Wanyama,Southampton,Midfielder,19,306,3,50,0,8,85,17,49,3,0,4,0,129,306,-177,Victor Wanyama
Samir Nasri,Manchester City,Midfielder,16,451,0,54,0,43,90,13,51,0,0,3,0,128,451,-323,Samir Nasri
Fernandinho,Manchester City,Midfielder,18,303,2,38,0,16,90,14,45,3,0,4,0,127,303,-176,Fernandinho
