Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points,PointsMod
Arkadiusz Milik,Ajax,Forward,12,412,8,59,0,14,76,13,40,1,0,1,0,107.22,113
Luiz Gustavo,VfL Wolfsburg,Midfielder,16,251,0,13,0,8,88,19,49,4,2,6,0,100.8,113
Pablo Zabaleta,Manchester City,Defender,15,214,1,17,0,15,86,16,51,5,0,5,1,130.3,113
Terence Kongolo,Feyenoord,Defender,13,575,0,25,0,4,88,20,64,9,0,1,0,132.5,112
Arnold Mvuemba,Lyon,Midfielder,16,183,0,0,0,16,93,18,54,1,0,1,0,108.8,112
Karim Rekik,PSV,Defender,14,387,1,100,0,5,87,22,55,9,2,1,0,138.1,112
Álvaro Domínguez,Borussia Mönchengladbach,Defender,14,246,0,60,0,9,80,22,55,8,0,3,0,132.1,112
Juan Jesus,Internazionale,Defender,17,274,0,0,0,4,84,17,49,7,0,4,0,127.5,112
Juan Jesus,Internazionale,Defender,17,274,0,0,0,4,84,17,49,7,0,4,0,127.5,112
Juan Jesus,Internazionale,Defender,17,274,0,0,0,4,84,17,49,7,0,4,0,127.5,112
Angelo Ogbonna,Juventus,Defender,15,435,0,25,0,4,90,19,64,5,0,3,0,123.0,111
James Collins,West Ham United,Defender,14,191,0,40,0,2,70,28,55,12,0,4,1,135.8,111
David de Gea,Manchester United,Goalkeeper,21,168,6,1,0,2.24,2.24,89,14,67,40,0,0,92.8,111
Cheikhou Kouyaté,West Ham United,Midfielder,16,64,1,50,0,8,79,15,47,3,2,3,0,101.4,110
Jerome Boateng,FC Bayern München,Defender,14,522,0,50,0,9,86,22,58,6,0,1,0,126.9,110
Fernando,Manchester City,Midfielder,15,124,1,33,0,8,91,15,38,4,2,5,0,98.375,110
Dejan Lovren,Liverpool,Defender,16,293,0,17,0,1,88,21,60,11,6,2,0,150.8,110
Samir Handanovic,Internazionale,Goalkeeper,19,168,7,1.32,0,2.26,1.72,91,47,72,32,1,0,89.2,110
Samir Handanovic,Internazionale,Goalkeeper,19,168,7,1.32,0,2.26,1.72,91,47,72,32,1,0,89.2,110
Samir Handanovic,Internazionale,Goalkeeper,19,168,7,1.32,0,2.26,1.72,91,47,72,32,1,0,89.2,110
Luke Wilkshire,Feyenoord,Defender,12,385,0,67,0,23,79,21,58,4,0,1,0,129.7,110
Jeroen Zoet,PSV,Goalkeeper,15,374,6,0.73,0,2.8,3.82,100,47,75,38,0,0,92,110
Claudio Bravo,Barcelona,Goalkeeper,18,429,11,0.5,0,1.5,3.86,82,6,85,30,0,0,77,110
Iker Casillas,Real Madrid,Goalkeeper,15,316,8,0.87,0,2.4,2.77,98,40,69,39,0,0,86,110
Éver Banega,Sevilla,Midfielder,16,106,1,56,0,18,83,18,47,1,0,3,0,107,110
Gervinho,Roma,Forward,14,376,2,53,0,22,82,12,54,1,0,1,0,101.38,110
Ömer Toprak,Bayer 04 Leverkusen,Defender,14,199,0,43,0,6,74,22,58,8,0,4,0,128.6,110
Diafra Sakho,West Ham United,Forward,14,134,8,41,0,12,60,15,38,1,0,1,0,104.25,109
Loic Perrin,St Etienne,Defender,12,463,0,0,0,0,88,22,69,12,2,0,0,139.2,109
Kévin Monnet-Paquet,St Etienne,Forward,18,154,1,31,0,17,75,13,37,1,1,0,0,101.325,109
Mario Mandzukic,Atlético de Madrid,Forward,15,281,7,50,0,11,67,11,49,1,0,7,0,103.3625,109
Adrián,West Ham United,Goalkeeper,21,158,4,1.19,0,2.62,2.29,96,24,56,47,2,0,96.4,108
Ryan Mason,Tottenham Hotspur,Midfielder,15,158,0,31,0,14,81,19,53,3,1,4,0,99.25,108
Danijel Subasic,Monaco,Goalkeeper,20,226,9,0.9,0,1.7,2.13,93,30,65,42,2,0,81,108
Layvin Kurzawa,Monaco,Defender,11,281,0,56,0,24,74,18,49,7,0,1,0,133.9,108
Lucas Biglia,Lazio,Midfielder,13,269,1,20,0,14,87,19,42,4,0,3,0,95.925,108
Aleix Vidal,Sevilla,Midfielder,16,46,2,67,0,10,72,16,45,2,1,3,0,101.8,108
Ivan Perisic,VfL Wolfsburg,Midfielder,13,159,3,59,0,17,69,16,50,2,1,1,0,101.675,108
Bernardo Silva,Monaco,Midfielder,14,155,1,67,0,22,84,16,52,1,0,1,0,104.6,108
Kevin Nolan,West Ham United,Midfielder,16,119,1,78,0,7,80,18,34,3,0,0,0,98.6,108
Marcelo,Real Madrid,Defender,15,251,0,43,0,17,82,17,50,4,1,3,0,126.8,107
Nacho Monreal,Arsenal,Defender,15,311,0,0,0,5,88,16,54,6,0,1,0,121.8,107
Raúl García,Atlético de Madrid,Midfielder,16,107,3,58,0,6,65,13,50,2,1,4,0,101,107
Kieran Gibbs,Arsenal,Defender,16,138,0,17,0,11,82,18,46,5,0,3,0,122.3,107
Jean-Paul Boëtius,Feyenoord,Forward,14,184,3,59,0,15,78,18,47,1,0,0,0,100.22,107
Miroslav Klose,Lazio,Forward,15,97,3,88,0,5,73,15,39,1,0,2,0,102.6375,107
Thiago Motta,Paris Saint Germain,Midfielder,16,309,0,100,0,10,93,16,36,3,0,5,0,97.6,107
Roberto Pereyra,Juventus,Midfielder,16,179,0,20,0,14,87,14,49,1,0,0,0,103.4,106
Lex Immers,Feyenoord,Midfielder,12,223,3,40,0,18,75,17,49,2,0,0,0,100.2,106
Enner Valencia,West Ham United,Forward,18,95,3,33,0,8,74,14,39,1,0,0,0,100.82,106
David López,Napoli,Midfielder,15,221,0,27,0,11,86,16,45,3,2,2,0,97.125,106
Anthony Lopes,Lyon,Goalkeeper,20,425,8,0.85,0,1.7,2.13,98,55,61,39,0,0,82,106
Steed Malbranque,Lyon,Midfielder,15,146,3,64,0,12,86,14,34,1,0,2,0,103,106
Josuha Guilavogui,VfL Wolfsburg,Midfielder,14,181,0,44,0,7,84,18,50,5,2,3,1,90.9,106
André Ayew,Marseille,Forward,15,148,3,50,0,14,81,16,46,1,0,3,0,99.0875,106
Philipp Lahm,FC Bayern München,Defender,11,402,2,60,0,26,89,17,45,2,0,0,0,122.5,106
Tin Jedvaj,Bayer 04 Leverkusen,Defender,14,88,2,50,0,6,70,19,48,7,0,5,1,122.3,105
David Luiz,Paris Saint Germain,Defender,14,421,0,20,0,2,89,20,66,7,2,2,0,126.1,105
Joe Hart,Manchester City,Goalkeeper,19,231,7,0.84,0,2,2.71,96,63,56,43,1,0,84,105
Atsuto Uchida,FC Schalke 04,Defender,13,172,0,100,0,15,71,17,51,6,0,2,0,124.5,105
Salvatore Sirigu,Paris Saint Germain,Goalkeeper,19,422,8,0.68,0,1.79,3.09,85,37,80,30,1,0,80.8,105
Daniele De Rossi,Roma,Midfielder,13,344,1,80,0,8,90,22,44,5,1,5,1,89.55,105
Seydou Keita,Roma,Midfielder,14,406,1,25,0,5,93,16,50,3,0,2,0,95.05,104
Thiago Silva,Paris Saint Germain,Defender,11,477,0,33,0,2,91,19,73,10,1,1,0,128.0,104
Alberto Aquilani,Fiorentina,Midfielder,16,56,0,21,0,13,85,18,38,2,0,3,0,97.2,103
Max Meyer,FC Schalke 04,Midfielder,14,130,2,80,0,10,81,13,59,1,0,0,0,100,103
Federico Fazio,Tottenham Hotspur,Defender,12,269,0,40,0,2,81,20,63,13,3,1,1,138.9,103
Ivica Olic,VfL Wolfsburg,Forward,14,35,5,64,0,7,67,14,34,1,0,0,0,98.505,103
Kostas Manolas,Roma,Defender,15,395,0,0,0,1,93,19,49,9,0,2,1,120.8,102
Ricardo Kishna,Ajax,Forward,14,209,2,60,0,16,75,18,37,0,0,1,0,95.625,102
Gianluigi Buffon,Juventus,Goalkeeper,17,483,10,0.47,0,1.41,3,94,24,84,29,0,0,72.2,102
Davide Astori,Roma,Defender,10,411,1,67,0,2,88,21,64,12,0,5,0,127.2,102
Morgan Amalfitano,West Ham United,Midfielder,15,113,2,33,0,6,79,18,44,2,0,2,0,96.125,102
Gerard Piqué,Barcelona,Defender,12,495,2,50,0,2,90,20,58,7,0,4,0,116.9,102
Ricardo Carvalho,Monaco,Defender,14,377,0,100,0,3,90,21,51,9,0,2,1,120.9,101
Rod Fanni,Marseille,Defender,12,311,1,40,0,5,87,25,51,9,1,0,0,124.6,101
Marouane Fellaini,Manchester United,Midfielder,12,216,2,53,0,5,87,16,49,4,0,3,0,88.8,101
Michael Carrick,Manchester United,Midfielder,12,317,0,0,0,4,90,20,56,5,0,1,0,85.8,101
Stevan Jovetic,Manchester City,Forward,12,307,5,50,0,14,81,11,41,1,0,0,0,94.87,101
Santiago Arias,PSV,Defender,12,209,1,40,0,14,84,16,54,4,0,2,0,115.7,101
Nick Viergever,Ajax,Defender,14,220,1,40,0,8,86,17,50,4,0,2,0,112.7,101
Jérémy Clément,St Etienne,Midfielder,14,237,0,0,0,7,89,17,49,3,0,1,0,91.3,100
Maxwell,Paris Saint Germain,Defender,12,333,1,100,0,10,85,15,53,5,0,0,0,114.9,100
Dimitar Berbatov,Monaco,Forward,13,176,5,58,0,12,74,13,41,1,0,4,0,94.495,100
Alexandre Song,West Ham United,Midfielder,14,32,0,0,0,16,79,19,52,2,0,2,0,93.85,100
Chris Smalling,Manchester United,Defender,12,333,1,17,0,2,89,23,55,9,0,1,1,118.5,100
Carl Jenkinson,West Ham United,Defender,17,20,0,67,0,10,79,18,37,5,1,1,0,117.4,99
Ignazio Abate,Milan,Defender,12,149,0,20,0,13,74,19,55,5,0,0,0,115.8,99
Ignazio Abate,Milan,Defender,12,149,0,20,0,13,74,19,55,5,0,0,0,115.8,99
Ignazio Abate,Milan,Defender,12,149,0,20,0,13,74,19,55,5,0,0,0,115.8,99
Ignazio Abate,Milan,Defender,12,149,0,20,0,13,74,19,55,5,0,0,0,115.8,99
Ezequiel Lavezzi,Paris Saint Germain,Forward,13,141,2,78,0,11,86,16,46,1,0,2,0,93.505,99
Benedikt Höwedes,FC Schalke 04,Defender,13,321,1,75,0,2,86,19,49,8,0,2,0,116.0,99
Ashley Young,Manchester United,Midfielder,13,243,0,60,0,11,81,18,48,4,0,4,0,86.925,99
Kévin Théophile-Cath..,St Etienne,Defender,14,65,0,0,0,4,65,20,52,6,0,1,0,112.5,99
Didier Drogba,Chelsea,Forward,16,67,3,38,0,10,68,15,46,1,1,1,0,92.68,98
Rafinha,FC Bayern München,Defender,13,486,0,33,0,17,89,18,48,3,0,0,0,112.4,98
Sebastian Jung,VfL Wolfsburg,Defender,15,14,0,0,0,15,77,19,37,4,0,0,0,113.3,98
Sven Bender,Borussia Dortmund,Midfielder,13,150,0,0,0,7,83,17,45,4,0,1,0,85.6,98
Mattia Destro,Roma,Forward,14,60,4,69,0,3,79,12,17,1,0,2,0,94.035,98
Alex,Milan,Defender,11,209,0,50,0,1,92,17,74,7,0,1,0,112.0,98
Alex,Milan,Defender,11,209,0,50,0,1,92,17,74,7,0,1,0,112.0,98
Alex,Milan,Defender,11,209,0,50,0,1,92,17,74,7,0,1,0,112.0,98
Alex,Milan,Defender,11,209,0,50,0,1,92,17,74,7,0,1,0,112.0,98
Álvaro Morata,Juventus,Forward,13,145,4,67,0,10,77,12,48,0,0,1,1,92.2975,97
Denis Suárez,Sevilla,Midfielder,15,13,1,38,0,20,79,16,39,0,0,2,0,97.25,97
Anthony Martial,Monaco,Forward,17,3,1,47,0,7,71,13,42,1,0,0,0,92.1325,97
Kolbeinn Sigthorsson,Ajax,Forward,14,200,5,52,0,6,69,12,53,1,0,1,0,92.935,97
Jasper Cillessen,Ajax,Goalkeeper,17,445,6,0.94,0,1.94,2.06,97,29,72,38,0,0,78.8,97
Martin Stranzl,Borussia Mönchengladbach,Defender,11,351,0,33,0,0,83,22,72,9,1,2,0,117.8,97
Lucas Ocampos,Monaco,Midfielder,16,10,1,40,0,7,83,13,39,1,0,2,0,93.8,97
Thibaut Courtois,Chelsea,Goalkeeper,19,235,7,1,0,1.58,1.67,100,26,63,43,1,0,75.6,97
Franck Ribéry,FC Bayern München,Midfielder,11,343,2,62,0,22,83,16,53,1,0,1,0,93.4,96
Mapou Yanga-Mbiwa,Roma,Defender,12,508,0,0,0,4,93,19,55,8,0,1,0,114.0,96
Kalidou Koulibaly,Napoli,Defender,15,261,1,17,0,3,89,20,45,8,2,4,1,119.3,96
Mattia De Sciglio,Milan,Defender,13,50,0,20,0,16,81,17,47,5,0,3,1,113.7,96
Mattia De Sciglio,Milan,Defender,13,50,0,20,0,16,81,17,47,5,0,3,1,113.7,96
Mattia De Sciglio,Milan,Defender,13,50,0,20,0,16,81,17,47,5,0,3,1,113.7,96
Mattia De Sciglio,Milan,Defender,13,50,0,20,0,16,81,17,47,5,0,3,1,113.7,96
Daley Blind,Manchester United,Midfielder,9,285,1,38,0,8,89,19,52,6,2,3,0,77.725,96
Colin Kazim-Richards,Feyenoord,Forward,11,209,5,46,0,17,79,14,42,1,0,2,0,89.2025,96
Juanfran,Atlético de Madrid,Defender,17,82,0,0,0,14,80,15,37,3,1,4,0,111.4,95
Andrea Pirlo,Juventus,Midfielder,10,337,2,57,0,21,88,22,41,2,0,0,0,89.25,95
Moyá,Atlético de Madrid,Goalkeeper,18,151,7,1,0,1.56,1.65,97,22,66,42,0,0,74.2,95
Ander Herrera,Manchester United,Midfielder,11,320,2,29,0,13,87,16,59,2,1,2,0,89.15,95
Shinji Kagawa,Borussia Dortmund,Midfielder,12,120,1,17,0,24,83,18,56,0,0,0,0,94.7,95
Etienne Capoue,Tottenham Hotspur,Midfielder,12,275,0,50,0,4,87,20,42,5,0,2,0,79.7,95
Bernd Leno,Bayer 04 Leverkusen,Goalkeeper,17,150,6,1.18,0,1.88,1.68,100,53,65,42,1,0,76.6,95
Eliaquim Mangala,Manchester City,Defender,13,119,0,17,0,3,88,18,55,9,1,4,1,116.9,94
Phil Jones,Manchester United,Defender,10,328,0,50,0,4,87,21,56,11,0,1,0,118.3,94
Elvis Manu,Feyenoord,Forward,13,205,2,61,0,15,70,17,56,0,0,1,0,88.3,94
Thorgan Hazard,Borussia Mönchengladbach,Midfielder,15,48,1,71,0,11,79,17,33,1,0,0,0,91,94
Christian Maggio,Napoli,Defender,14,96,0,0,0,10,81,16,45,5,0,4,0,108.5,94
Sebastian Kehl,Borussia Dortmund,Midfielder,13,58,0,25,0,9,81,17,46,3,0,1,0,84.275,93
Nemanja Vidic,Internazionale,Defender,11,233,1,11,0,1,86,20,60,10,2,1,1,119.8,93
Nemanja Vidic,Internazionale,Defender,11,233,1,11,0,1,86,20,60,10,2,1,1,119.8,93
Nemanja Vidic,Internazionale,Defender,11,233,1,11,0,1,86,20,60,10,2,1,1,119.8,93
Nabil Dirar,Monaco,Midfielder,14,13,1,40,0,11,78,16,51,1,0,2,0,90.15,93
Stéphane Mbia,Sevilla,Midfielder,11,97,4,64,0,4,82,16,42,3,1,5,0,84.1,93
Falcao,Manchester United,Forward,12,170,3,65,0,10,86,12,37,1,0,1,0,87.72,93
Miquel Nelom,Feyenoord,Defender,12,241,0,0,0,11,85,22,55,5,1,1,0,111.3,93
Kevin Großkreutz,Borussia Dortmund,Midfielder,15,1,0,36,0,13,78,14,44,1,0,2,0,89.75,93
Diego Benaglio,VfL Wolfsburg,Goalkeeper,15,255,5,0.87,0,2.13,2.46,93,47,72,35,0,0,77.6,93
Simon Mignolet,Liverpool,Goalkeeper,19,158,6,1.16,0,1.53,1.45,94,53,71,37,0,0,74.6,93
Yohan Cabaye,Paris Saint Germain,Midfielder,14,167,1,40,0,8,89,17,44,2,2,4,1,86.55,93
Jeremy Mathieu,Barcelona,Defender,14,437,0,60,0,5,89,18,56,6,3,3,0,116.0,93
Neven Subotic,Borussia Dortmund,Defender,13,144,0,17,0,5,81,22,58,6,1,5,0,110.0,93
Romain Hamouma,St Etienne,Midfielder,12,152,2,78,0,17,80,17,45,1,0,2,0,89.5,93
Mario Lemina,Marseille,Midfielder,13,85,1,60,0,7,91,18,42,2,0,1,0,86.225,92
Marquinhos,Paris Saint Germain,Defender,12,387,1,50,0,0,93,19,55,7,1,0,0,109.0,92
Henrikh Mkhitaryan,Borussia Dortmund,Midfielder,12,198,0,30,0,19,73,17,57,2,0,2,0,86,92
Jonathan de Guzmán,Napoli,Midfielder,12,125,3,60,0,11,84,16,39,1,0,1,0,88.9,92
Cristian Zapata,Milan,Defender,11,169,0,50,0,2,81,22,64,8,0,1,1,108.4,91
Cristian Zapata,Milan,Defender,11,169,0,50,0,2,81,22,64,8,0,1,1,108.4,91
Cristian Zapata,Milan,Defender,11,169,0,50,0,2,81,22,64,8,0,1,1,108.4,91
Cristian Zapata,Milan,Defender,11,169,0,50,0,2,81,22,64,8,0,1,1,108.4,91
Vitolo,Sevilla,Midfielder,14,75,2,78,0,7,81,14,42,1,0,3,0,88.05,91
Neto,Fiorentina,Goalkeeper,16,385,7,0.81,0,1.63,2.17,100,31,76,35,2,0,69.6,91
Eric Dier,Tottenham Hotspur,Defender,12,102,2,50,0,3,78,18,56,5,2,3,0,108.1,91
Daniel Caligiuri,VfL Wolfsburg,Midfielder,12,133,3,58,0,8,78,19,47,1,1,0,0,87.5,91
Pablo Daniel Osvaldo,Internazionale,Forward,12,142,5,41,0,10,75,14,33,1,0,1,0,85.55,90
Pablo Daniel Osvaldo,Internazionale,Forward,12,142,5,41,0,10,75,14,33,1,0,1,0,85.55,90
Pablo Daniel Osvaldo,Internazionale,Forward,12,142,5,41,0,10,75,14,33,1,0,1,0,85.55,90
Julian Korb,Borussia Mönchengladbach,Defender,14,64,0,0,0,9,79,18,46,5,2,1,0,110.7,90
Patrice Evra,Juventus,Defender,10,233,1,100,0,16,82,16,45,5,0,1,0,108.0,90
Romain Alessandrini,Marseille,Midfielder,13,153,1,45,0,12,79,18,47,1,0,0,0,86.95,90
Sulley Ali Muntari,Milan,Midfielder,12,12,2,38,0,8,79,18,37,3,1,5,0,80.8,90
Sulley Ali Muntari,Milan,Midfielder,12,12,2,38,0,8,79,18,37,3,1,5,0,80.8,90
Sulley Ali Muntari,Milan,Midfielder,12,12,2,38,0,8,79,18,37,3,1,5,0,80.8,90
Sulley Ali Muntari,Milan,Midfielder,12,12,2,38,0,8,79,18,37,3,1,5,0,80.8,90
Glen Johnson,Liverpool,Defender,11,144,1,20,0,3,83,18,60,5,0,1,0,101.3,90
Khouma Babacar,Fiorentina,Forward,12,129,4,64,0,7,78,12,38,1,0,2,0,85.26,89
Joaquín,Fiorentina,Midfielder,10,238,1,14,0,18,85,14,56,2,0,1,0,83.25,89
Dante,FC Bayern München,Defender,14,485,0,50,0,2,91,19,51,4,0,1,0,98.1,89
Daniel Carvajal,Real Madrid,Defender,13,207,0,0,0,17,86,16,40,4,0,5,0,105.4,89
Lucas Leiva,Liverpool,Midfielder,11,128,0,50,0,6,86,18,37,5,0,3,0,73.825,89
Emre Can,Liverpool,Midfielder,10,166,1,50,0,5,85,18,58,4,0,1,0,76.75,89
Lorenzo Insigne,Napoli,Forward,11,256,1,48,0,21,83,17,42,2,0,0,0,80.7425,88
Ciro Immobile,Borussia Dortmund,Forward,13,154,3,67,0,6,67,16,42,1,0,1,0,84.3725,88
Sokratis,Borussia Dortmund,Defender,11,137,1,33,0,3,80,23,59,6,0,5,0,101.5,88
Younes Kaboul,Tottenham Hotspur,Defender,11,150,0,33,0,4,80,22,49,11,2,2,0,117.9,88
Laurent Koscielny,Arsenal,Defender,11,329,2,50,0,0,90,20,46,8,1,1,0,106.7,88
Maximilian Arnold,VfL Wolfsburg,Midfielder,12,137,2,50,0,12,86,17,43,1,0,3,0,84.7,88
Miranda,Atlético de Madrid,Defender,11,142,3,100,0,3,80,24,53,5,2,4,0,105.1,88
Mats Hummels,Borussia Dortmund,Defender,10,154,1,50,0,5,80,23,57,7,1,1,0,106.8,87
Rickie Lambert,Liverpool,Forward,16,7,1,40,0,6,69,15,44,0,0,0,0,82.84,87
Jordy Clasie,Feyenoord,Midfielder,12,183,0,45,0,11,83,20,47,3,0,5,0,78,87
Luis Suárez,Barcelona,Forward,10,252,2,43,0,24,77,12,46,1,0,1,0,79.075,87
Andrés Iniesta,Barcelona,Midfielder,12,254,0,25,0,15,90,16,56,1,2,2,0,83.8,87
Adrián Ramos,Borussia Dortmund,Forward,13,56,2,33,0,17,64,14,46,1,2,0,0,80.445,87
Javier Mascherano,Barcelona,Defender,13,412,0,0,0,2,92,21,59,4,0,2,1,95.6,87
José Holebas,Roma,Defender,10,248,1,25,0,9,85,16,50,6,0,2,0,103.1,87
Tiemoué Bakayoko,Monaco,Midfielder,10,117,0,0,0,3,82,18,56,6,0,4,1,68.5,87
Stephan El Shaarawy,Milan,Forward,13,147,1,54,0,11,83,16,47,1,0,2,0,80.8275,86
Stephan El Shaarawy,Milan,Forward,13,147,1,54,0,11,83,16,47,1,0,2,0,80.8275,86
Stephan El Shaarawy,Milan,Forward,13,147,1,54,0,11,83,16,47,1,0,2,0,80.8275,86
Nicolai Boilesen,Ajax,Defender,12,132,0,25,0,5,81,19,60,5,2,1,0,104.8,86
Maya Yoshida,Southampton,Defender,11,115,1,100,0,1,80,21,60,6,1,2,0,101.8,86
Nabil Bentaleb,Tottenham Hotspur,Midfielder,11,145,0,17,0,5,86,17,49,4,0,2,0,74.125,86
Faouzi Ghoulam,Napoli,Defender,11,222,0,50,0,11,86,17,55,5,1,2,0,104.6,86
Florian Jozefzoon,PSV,Forward,12,191,2,82,0,6,76,14,59,2,0,1,0,82.12,86
Beto,Sevilla,Goalkeeper,14,111,6,1,0,1.79,1.79,88,36,62,39,2,0,67.8,86
Erik Durm,Borussia Dortmund,Defender,12,60,0,0,0,8,68,20,51,5,1,1,0,102.8,86
Marco Höger,FC Schalke 04,Midfielder,13,63,0,40,0,8,78,17,44,3,0,6,0,76.65,86
Mathieu Debuchy,Arsenal,Defender,10,92,1,57,0,2,79,17,57,8,1,2,0,105.5,86
Daniel Carriço,Sevilla,Defender,15,121,0,0,0,1,83,21,44,8,2,5,1,107.8,85
Benoît Trémoulinas,Sevilla,Defender,10,127,0,20,0,9,73,18,57,6,0,2,0,101.8,85
André Schürrle,Chelsea,Midfielder,13,102,2,45,0,5,79,15,43,1,0,2,0,81.65,85
Dani Alves,Barcelona,Defender,14,240,0,33,0,17,89,14,41,2,2,3,0,103.0,85
Marco Reus,Borussia Dortmund,Midfielder,7,311,3,50,0,20,82,18,56,2,1,1,0,78.15,84
Jorginho,Napoli,Midfielder,13,41,0,25,0,12,87,16,30,2,0,4,0,78.025,84
Andrés Guardado,PSV,Midfielder,9,146,0,33,0,10,85,20,61,4,1,1,0,71.85,84
Stefan Radu,Lazio,Defender,10,263,0,0,0,5,83,18,48,9,0,2,0,103.8,83
Gökhan Inler,Napoli,Midfielder,10,173,1,19,0,10,88,18,41,3,0,2,0,74.25,83
Geoffrey Kondogbia,Monaco,Midfielder,11,232,1,67,0,5,86,17,60,2,0,1,0,77.15,83
Roman Weidenfeller,Borussia Dortmund,Goalkeeper,12,44,1,1.58,0,2.75,1.83,83,33,73,34,0,0,80,83
Gregory Van der Wiel,Paris Saint Germain,Defender,13,219,0,0,0,9,91,15,42,4,0,0,1,95.2,83
Federico Marchetti,Lazio,Goalkeeper,14,75,5,1.07,0,1.93,1.93,100,36,59,41,4,0,67.6,83
Benjamin Corgnet,St Etienne,Midfielder,14,4,0,29,0,10,70,16,46,1,0,2,0,79.6,83
Luka Modric,Real Madrid,Midfielder,10,326,1,50,0,12,90,18,51,2,0,2,0,76.25,82
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73,82
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73,82
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73,82
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73,82
Zdravko Kuzmanovic,Internazionale,Midfielder,10,265,0,27,0,14,90,17,54,2,0,0,0,76,82
Zdravko Kuzmanovic,Internazionale,Midfielder,10,265,0,27,0,14,90,17,54,2,0,0,0,76,82
Zdravko Kuzmanovic,Internazionale,Midfielder,10,265,0,27,0,14,90,17,54,2,0,0,0,76,82
James Ward-Prowse,Southampton,Midfielder,11,155,0,45,0,20,90,19,33,1,0,0,0,78.825,82
Karim El Ahmadi,Feyenoord,Midfielder,11,237,0,46,0,12,90,16,40,2,0,0,0,75.75,82
Mitchell te Vrede,Feyenoord,Forward,12,93,5,55,0,3,65,12,36,1,0,2,0,79.05,82
Josip Drmic,Bayer 04 Leverkusen,Forward,12,77,3,56,0,4,79,14,33,0,0,0,0,78.13,82
Elderson Echiéjilé,Monaco,Defender,8,122,1,20,0,7,80,18,67,5,0,0,0,95.0,81
Bakary Koné,Lyon,Defender,10,154,1,50,0,1,86,23,51,9,2,1,0,105.8,81
Tonny Vilhena,Feyenoord,Midfielder,11,113,0,53,0,11,81,20,51,2,0,1,0,74.3,80
Jasmin Kurtic,Fiorentina,Midfielder,11,177,1,50,0,7,87,14,41,2,0,1,0,74.2,80
Coke,Sevilla,Defender,12,69,1,75,0,5,74,18,46,4,0,5,0,90.6,80
Jack Cork,Southampton,Midfielder,11,144,2,67,0,5,87,17,47,1,0,0,0,76.85,80
Vincent Kompany,Manchester City,Defender,13,245,0,0,0,2,89,20,43,7,1,4,0,97.8,80
Kaan Ayhan,FC Schalke 04,Defender,12,15,0,0,0,3,79,21,50,5,0,3,0,91.3,80
Dusan Basta,Lazio,Defender,10,152,0,33,0,11,79,17,44,6,0,2,0,96.6,79
Aaron Hunt,VfL Wolfsburg,Midfielder,11,108,2,67,0,12,83,18,46,0,0,1,0,78.475,78
Asier Illarramendi,Real Madrid,Midfielder,11,115,0,0,0,4,91,16,38,3,0,1,0,69.475,78
Wojciech Szczesny,Arsenal,Goalkeeper,17,41,3,1.24,0,1.65,1.4,95,12,68,36,1,0,69,78
Luke Shaw,Manchester United,Defender,10,106,0,100,0,5,84,19,55,5,0,0,0,90.4,78
Tranquillo Barnetta,FC Schalke 04,Midfielder,9,182,2,80,0,10,80,18,44,2,0,0,0,71.9,78
Joe Allen,Liverpool,Midfielder,11,85,0,0,0,7,89,16,52,2,0,2,0,71.775,78
Nenad Tomovic,Fiorentina,Defender,10,145,1,50,0,5,82,18,50,6,1,3,0,95.1,78
Aymen Abdennour,Monaco,Defender,8,165,0,100,0,1,86,21,66,10,1,2,0,101.0,77
Emmanuel Adebayor,Tottenham Hotspur,Forward,10,86,2,64,0,12,76,13,41,1,0,1,0,72.1,77
Sebastian Rode,FC Bayern München,Midfielder,10,200,1,17,0,11,85,16,58,1,0,1,0,73.75,77
John Obi Mikel,Chelsea,Midfielder,12,92,0,0,0,2,91,17,38,2,1,0,0,70.7,77
Marcos Rojo,Manchester United,Defender,10,248,0,0,0,4,87,21,49,10,3,2,0,107.7,77
David Alaba,FC Bayern München,Defender,10,347,0,50,0,12,90,17,49,3,0,0,0,88.7,77
Mevlut Erding,St Etienne,Forward,11,100,3,67,0,4,69,11,34,1,0,0,0,73.5025,76
Mousa Dembélé,Tottenham Hotspur,Midfielder,12,118,0,0,0,6,88,15,46,1,0,0,0,73.2,76
Andy Carroll,West Ham United,Forward,11,176,4,33,0,10,64,14,52,2,0,1,0,71.915,76
Jürgen Locadia,PSV,Forward,9,276,4,63,0,7,85,14,51,2,0,0,0,72.3875,76
Henri Bedimo,Lyon,Defender,13,103,0,100,0,7,79,17,44,3,2,0,0,91.4,76
Wendell,Bayer 04 Leverkusen,Defender,10,26,0,25,0,12,76,18,43,5,0,3,0,91.7,76
Josip Ilicic,Fiorentina,Midfielder,11,211,1,37,0,16,85,17,41,0,0,2,0,75.65,76
