Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Cody Cropper,Southampton,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Joe Hart,Manchester City,Goalkeeper,19,231,7,0.84,0,2.0,2.71,96,63,56,43,1,0,84.0,
Willy Caballero,Manchester City,Goalkeeper,2,10,0,2.0,0,2.5,1.67,100,50,72,38,0,0,54.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Richard Wright,Manchester City,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Iker Casillas,Real Madrid,Goalkeeper,15,316,8,0.87,0,2.4,2.77,98,40,69,39,0,0,86.0,
Keylor Navas,Real Madrid,Goalkeeper,2,24,0,1.0,0,3.0,3.0,75,0,73,37,0,0,64.0,
Fernando Pacheco,Real Madrid,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Marc-André ter Stege..,Barcelona,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Claudio Bravo,Barcelona,Goalkeeper,18,429,11,0.5,0,1.5,3.86,82,6,85,30,0,0,77.0,
Jordi Masip,Barcelona,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Adrián,West Ham United,Goalkeeper,21,158,4,1.19,0,2.62,2.29,96,24,56,47,2,0,96.4,
Jussi Jääskeläinen..,West Ham United,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Raphael Spiegel,West Ham United,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Jasper Cillessen,Ajax,Goalkeeper,17,445,6,0.94,0,1.94,2.06,97,29,72,38,0,0,78.8,
Peter Leeuwenburgh,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Diederik Boer,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Norbert Alblas,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Yanick van Osch,PSV,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Jeroen Zoet,PSV,Goalkeeper,15,374,6,0.73,0,2.8,3.82,100,47,75,38,0,0,92.0,
Remko Pasveer,PSV,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Nigel Bertrams,PSV,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Erwin Mulder,Feyenoord,Goalkeeper,4,103,2,0.75,0,1.75,2.33,75,50,74,39,0,0,45.0,
Ronald Graafland,Feyenoord,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Kenneth Vermeer,Feyenoord,Goalkeeper,11,280,7,0.55,0,1.18,2.6,82,18,73,37,0,0,52.6,
Roman Weidenfeller,Borussia Dortmund,Goalkeeper,12,44,1,1.58,0,2.75,1.83,83,33,73,34,0,0,80.0,
Mitchell Langerak,Borussia Dortmund,Goalkeeper,5,39,1,1.4,0,1.0,0.71,100,0,72,35,0,0,31.0,
Zlatan Alomerovic,Borussia Dortmund,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Hendrik Bonmann,Borussia Dortmund,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Yann Sommer,Borussia Mönchengladbach,Goalkeeper,17,562,5,0.94,0,3.35,3.8,100,35,79,34,1,0,105.0,
Janis Blaswich,Borussia Mönchengladbach,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Christofer Heimeroth,Borussia Mönchengladbach,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Manuel Neuer,FC Bayern München,Goalkeeper,17,726,13,0.24,0,1.59,6.75,88,6,89,29,1,0,77.8,
Tom Starke,FC Bayern München,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
José Reina,FC Bayern München,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Leopold Zingerle,FC Bayern München,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Diego Benaglio,VfL Wolfsburg,Goalkeeper,15,255,5,0.87,0,2.13,2.46,93,47,72,35,0,0,77.6,
Max Grün,VfL Wolfsburg,Goalkeeper,2,36,0,2.0,0,3.0,2.0,100,0,64,39,0,0,64.0,
Patrick Drewes,VfL Wolfsburg,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Bernd Leno,Bayer 04 Leverkusen,Goalkeeper,17,150,6,1.18,0,1.88,1.68,100,53,65,42,1,0,76.6,
David Yelldell,Bayer 04 Leverkusen,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Dario Kresic,Bayer 04 Leverkusen,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Niklas Lomb,Bayer 04 Leverkusen,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Ralf Fährmann,FC Schalke 04,Goalkeeper,17,292,5,1.24,0,3.35,2.85,100,35,60,40,0,0,106.0,
Christian Wetklo,FC Schalke 04,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Fabian Giefer,FC Schalke 04,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Timon Wellenreuther,FC Schalke 04,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Moyá,Atlético de Madrid,Goalkeeper,18,151,7,1.0,0,1.56,1.65,97,22,66,42,0,0,74.2,
Jan Oblak,Atlético de Madrid,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
